file,click,time_sec,peak_hz,centroid_hz,dur_ms,crest,sub_bass,bass,low_mid,mid,high_mid,presence
xuv5_3connector.wav,C3,8.078,732.1,2221.1,11.4,12.85,0.4,2.3,34.7,42.5,12.5,4.5
xuv6_3connector.wav,C1,1.494,904.4,2216.1,20.5,10.32,0.3,1.5,41.5,36.8,11.7,4.8
xuv6_3connector.wav,C2,3.717,839.8,4256.9,5.6,13.12,0,1.8,21.4,32.1,14.6,17.1
xuv6_3connector.wav,C3,5.28,463,2019.1,14.3,10.52,0.2,2.4,41.1,40.7,8,4.2
xuv7_3connector.wav,C1,3.81,2390.2,6235.3,3.3,13.62,0.2,1.6,9.8,20.6,22.4,25.2
xuv7_3connector.wav,C2,6.357,473.7,2815.1,6.7,17.71,0.4,4.6,29.1,36,18.2,6.9
xuv7_3connector.wav,C3,11.072,678.3,2816.3,65.9,7.23,0.4,2.1,33.4,35.8,17.1,5.6
xuv8_3connector.wav,C1,3.574,506,2754.7,9.6,16.9,0.3,4.8,36.1,33,14.6,5.2
xuv8_3connector.wav,C2,5.875,753.7,2632.4,3.3,17.63,0.1,4.4,33.6,34.4,16.4,6.6
xuv8_3connector.wav,C3,7.243,279.9,2757.3,3.6,16.1,0.4,5.7,29.5,37.3,16.2,5.5
xuv9_3connector.wav,C1,4.818,667.5,2821.3,15.2,11.21,0.1,2.7,39.9,31.6,11.4,7.4
xuv9_3connector.wav,C2,6.813,430.7,3234.3,3.3,13.16,0,2,26.8,35.5,20.7,8.1
xuv9_3connector.wav,C3,10.916,473.7,5449.4,137.1,4.06,0.4,2.6,26.4,22.5,6.9,14
